,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
0,-0.7023930944934578,-0.7067687446464375,-0.7069007779802307,-0.7048646275599164,-0.6194739785022052,-0.7067992978145881,-0.7042481082740227,-0.7069968022229892,-0.6771430833862386
1,-0.7064086537360926,-0.705786678527315,-0.7069569739859359,-0.7046627584132079,-0.16554119455219712,-0.7070693659973467,-0.7031514677743358,-0.7072243142072528,-0.4841670909786452
2,-0.705824869987503,-0.7052192625473773,-0.7070868249505756,-0.7056011771492584,-0.0035002848969660047,-0.7064359333505126,-0.7031405559285676,-0.7071566607634909,-0.4639801763077913
3,-0.7008217887028617,-0.7039152969780978,-0.7071588431326444,-0.7049737460175967,-0.3854148867779822,-0.7060922102088197,-0.7040353272815462,-0.7069782520851837,-0.5147202591291263
4,-0.7067523768777856,-0.7048318920226122,-0.7069853447849327,-0.7041007983561545,0.33476693391193435,-0.7072357716453093,-0.7031241881599158,-0.7071981257774094,-0.041691745085067726
5,-0.7065232281166568,-0.7062831675097603,-0.7068724071812337,-0.7064413892733966,0.3129432423758761,-0.7061740490520799,-0.7031787473887559,-0.7071850315624879,-0.1453542798813435
6,-0.7063268148928323,-0.7061795049749641,-0.7070742763279424,-0.7048428038683804,-0.34176750370586606,-0.706890411726751,-0.7033151454608563,-0.7072221318380991,-0.5316336200695714
7,-0.7070524526364064,-0.706234064203804,-0.7068380348670644,-0.7061740490520799,1.5514377370471726,-0.7072510482293844,-0.7028404801699472,-0.7072090376231775,2.124309639868697
8,-0.7070797322508263,-0.7045154484953396,-0.7067141854175973,-0.7047064057962801,1.649644348959433,-0.7072667067280615,-0.7029223190132072,-0.7072357716453093,1.8515134956679706
9,-0.7051756151643052,-0.704351770808819,-0.7069935286692589,-0.706184960897848,0.16563332450748416,-0.7065614195768449,-0.7035442942219848,-0.7072095832154659,-0.38868844050839096
10,-0.7065614195768449,-0.7054047639254339,-0.7068838646192901,-0.7049300986345245,0.5420920035044858,-0.7073357787117731,-0.7032878658464363,-0.7072128567691963,0.8203440705892266
11,-0.7068451275668138,-0.7035224705304488,-0.7070431775675033,-0.7045372721868757,1.5350699683951288,-0.7069084162722683,-0.7031678355429879,-0.7071964890005443,0.4220617000561666
12,-0.7046191110301359,-0.7064413892733966,-0.7071222884493216,-0.7061249457461237,-0.5741898185648847,-0.7069247840409204,-0.7034733672244926,-0.7071872139316415,-0.6659584414740088
13,-0.7065395958853089,-0.7051592473956532,-0.706879499880983,-0.7046573024903238,0.12744186431938254,-0.7072968234223813,-0.7031296440827998,-0.7072172215075035,0.16563332450748416
14,-0.7070142611762181,-0.7045099925724556,-0.7070082596610457,-0.7037952666746495,0.17654517027551314,-0.7064904925793528,-0.7034733672244926,-0.7072330436838671,-0.3783221870287633
15,-0.7070688204050583,-0.7031460118514519,-0.7067305531862494,-0.7032387625404801,1.5350699683951288,-0.7072117655846195,-0.7029495986276274,-0.7072128567691963,1.7151154235676087
16,-0.7062886234326443,-0.7041389898163424,-0.7070306289448701,-0.7041771812765306,-0.27738761367449477,-0.7072521394139611,-0.7034188079956526,-0.7071664814246822,-0.4705272837686087
17,-0.7012582625335829,-0.7060158272884436,-0.7070906440965945,-0.7052847336219856,-0.6080165404457748,-0.7072660520173154,-0.7039425765925178,-0.7070218994682557,-0.6659584414740088
18,-0.7049846578633648,-0.7049955697091328,-0.7070306289448701,-0.7034569994558407,-0.3570440877811067,-0.7069875271540864,-0.7033806165354644,-0.7071844859701995,-0.5883752180633225
19,-0.7047718768708882,-0.705066496706625,-0.7070502702672526,-0.7054429553856221,-0.4121489089096534,-0.7068353069056224,-0.7034078961498846,-0.7071397474025505,-0.5992870638313514
20,-0.706937878255842,-0.7056939278382867,-0.7067087294947133,-0.7045154484953396,-0.17699863260862764,-0.7072379540144627,-0.7031241881599158,-0.7072428643450583,-0.4557962919817695
21,-0.7044499774207312,-0.7049355545574086,-0.7068614953354657,-0.7045154484953396,0.018323406639092057,-0.7068276686135848,-0.7041990049680666,-0.7071572063557792,-0.3608632337999169
22,-0.706234064203804,-0.7067305531862494,-0.7068227582829892,-0.7066705380345254,0.0837944812472664,-0.7068554938202932,-0.7032660421549001,-0.7072161303229266,-0.09625097392521288
